"Item_Number","Title","End_Time","Price","Ruler","Year","Mint","YI_Num","Description","Obverse_Image","Reverse_Image","Obverse_Text","Reverse_Text","Obverse_URL","Reverse_URL"
"401155234378","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Konya-617-6-H-BA-141-","24. Jul. 2016 23:03:33 MESZ","EUR 34,45","","","","","","401155234378o.jpg","401155234378r.jpg","","","ODE2WDE2MDA=/z/Nl0AAOSwRgJXirkm","ODE2WDE2MDA=/z/Nl0AAOSwRgJXirkm"
"401155234341","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-625-H-Izm-277-BA150-","24. Jul. 2016 23:00:07 MESZ","EUR 34,51","","","","","","401155234341o.jpg","401155234341r.jpg","","","Nzg3WDE2MDA=/z/Q4EAAOSwNKRXirkd","Nzg3WDE2MDA=/z/Q4EAAOSwNKRXirkd"
"401155234257","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-625-H-Izm-275-BA149-","24. Jul. 2016 22:57:23 MESZ","EUR 33,51","","","","","","401155234257o.jpg","401155234257r.jpg","","","ODAzWDE2MDA=/z/4rgAAOSw6WdXirkV","ODAzWDE2MDA=/z/4rgAAOSw6WdXirkV"
"391508966103","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Konya-625-H-Izm-242-BA144-","24. Jul. 2016 22:54:30 MESZ","EUR 40,00","","","","","","391508966103o.jpg","391508966103r.jpg","","","ODAyWDE2MDA=/z/op0AAOSwdzVXirkM","ODAyWDE2MDA=/z/op0AAOSwdzVXirkM"
"391508966040","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Konya-620-H-Izm-BA143-","24. Jul. 2016 22:51:01 MESZ","EUR 33,00","","","","","","391508966040o.jpg","391508966040r.jpg","","","ODE3WDE2MDA=/z/O-cAAOSwsTxXirkD","ODE3WDE2MDA=/z/O-cAAOSwsTxXirkD"
"401155106512","SOL-Rum-Seljuqen-Mugith-ed-Din-Tughril-AG-Dinar-613-Erzerum-RAR-BA136-","24. Jul. 2016 22:48:50 MESZ","EUR 67,00","","","","","","401155106512o.jpg","401155106512r.jpg","","","ODAzWDE2MDA=/z/ZkgAAOSwARZXimUX","ODAzWDE2MDA=/z/ZkgAAOSwARZXimUX"
"391508751646","SOL-Rum-Seljuqen-Mugith-ed-Din-Tughril-AG-Dinar-608-Erzerum-RAR-BA131-","24. Jul. 2016 22:45:49 MESZ","EUR 71,00","","","","","","391508751646o.jpg","391508751646r.jpg","","","Nzg2WDE2MDA=/z/p94AAOSwRgJXimUO","Nzg2WDE2MDA=/z/p94AAOSwRgJXimUO"
"391508749370","SOL-Rum-Seljuqen-Kayyubad-I-Dirham-ohne-Praegestaette-624-625-H-BA155-","23. Jul. 2016 22:57:53 MESZ","EUR 30,36","","","","","","391508749370o.jpg","391508749370r.jpg","","","Nzg2WDE2MDA=/z/macAAOSwbsBXimPw","Nzg2WDE2MDA=/z/macAAOSwbsBXimPw"
"401155105221","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-617-H-BA-153-","23. Jul. 2016 22:54:53 MESZ","EUR 41,41","","","","","","401155105221o.jpg","401155105221r.jpg","","","Nzk2WDE2MDA=/z/OswAAOSwNKRXimPm","Nzk2WDE2MDA=/z/OswAAOSwNKRXimPm"
"401155105189","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-Siwas-ohne-Jahr-BA152-","23. Jul. 2016 22:51:00 MESZ","EUR 31,31","","","","","","401155105189o.jpg","401155105189r.jpg","","","NzgyWDE2MDA=/z/8FsAAOSw0fhXimPe","NzgyWDE2MDA=/z/8FsAAOSw0fhXimPe"
"391508749139","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-627-H-BA151-","23. Jul. 2016 22:48:17 MESZ","EUR 30,36","","","","","","391508749139o.jpg","391508749139r.jpg","","","ODAwWDE2MDA=/z/v5oAAOSwIgNXimPW","ODAwWDE2MDA=/z/v5oAAOSwIgNXimPW"
"401155105128","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Dunaysir-626-H-BA145-","23. Jul. 2016 22:45:35 MESZ","EUR 66,89","","","","","","401155105128o.jpg","401155105128r.jpg","","","NzgwWDE2MDA=/z/uT8AAOSwYqxXimPI","NzgwWDE2MDA=/z/uT8AAOSwYqxXimPI"
"391505975617","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-656-H-PM389-","21. Jul. 2016 23:15:07 MESZ","EUR 20,00","","","","","","391505975617o.jpg","391505975617r.jpg","","","Nzc0WDE2MDA=/z/Ap8AAOSw7XZXhgTa","Nzc0WDE2MDA=/z/Ap8AAOSw7XZXhgTa"
"401153304875","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-655-H-PM380-","21. Jul. 2016 23:12:08 MESZ","EUR 24,50","","","","","","401153304875o.jpg","401153304875r.jpg","","","ODA0WDE2MDA=/z/rPcAAOSwyKxXhgTR","ODA0WDE2MDA=/z/rPcAAOSwyKxXhgTR"
"391505975467","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-A-Kayqubad-Dirham-Siwas-649-H-2-x-PM165-","21. Jul. 2016 23:09:43 MESZ","EUR 38,50","","","","","","391505975467o.jpg","391505975467r.jpg","","","MTU2N1gxNjAw/z/RV4AAOSwYSlXhgTJ","MTU2N1gxNjAw/z/RV4AAOSwYSlXhgTJ"
"391505956457","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-654-H-PM374-","20. Jul. 2016 23:48:06 MESZ","EUR 21,50","","","","","","391505956457o.jpg","391505956457r.jpg","","","ODAwWDE2MDA=/z/Cw8AAOSwyKxXhf~E","ODAwWDE2MDA=/z/Cw8AAOSwyKxXhf~E"
"401153296499","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-653-H-PM371-","20. Jul. 2016 23:45:30 MESZ","EUR 23,50","","","","","","401153296499o.jpg","401153296499r.jpg","","","ODAwWDE2MDA=/z/EFEAAOSwAPlXhf-7","ODAwWDE2MDA=/z/EFEAAOSwAPlXhf-7"
"391505956160","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-652-H-PM368-","20. Jul. 2016 23:42:17 MESZ","EUR 23,50","","","","","","391505956160o.jpg","391505956160r.jpg","","","Nzk0WDE2MDA=/z/SOwAAOSwzLlXhf-y","Nzk0WDE2MDA=/z/SOwAAOSwzLlXhf-y"
"401153296421","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-650-H-PM364-","20. Jul. 2016 23:39:54 MESZ","EUR 21,50","","","","","","401153296421o.jpg","401153296421r.jpg","","","Nzk2WDE2MDA=/z/iJwAAOSwRgJXhf-q","Nzk2WDE2MDA=/z/iJwAAOSwRgJXhf-q"
"391505955922","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-649-H-PM359-","20. Jul. 2016 23:36:18 MESZ","EUR 21,50","","","","","","391505955922o.jpg","391505955922r.jpg","","","NzkxWDE2MDA=/z/RqgAAOSwzLlXhf-g","NzkxWDE2MDA=/z/RqgAAOSwzLlXhf-g"
"401153296243","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-648-H-PM356-","20. Jul. 2016 23:33:52 MESZ","EUR 23,39","","","","","","401153296243o.jpg","401153296243r.jpg","","","Nzk3WDE2MDA=/z/AQMAAOSwRJ9Xhf-Y","Nzk3WDE2MDA=/z/AQMAAOSwRJ9Xhf-Y"
"391503792439","SOL-Rum-Seljuqen-Qilij-Arslan-IV-Dirham-661-H-Saruz-DU629-","17. Jul. 2016 23:06:35 MESZ","EUR 39,89","","","","","","391503792439o.jpg","391503792439r.jpg","","","NjU0WDEzMDA=/z/YvcAAOSwygJXghq7","NjU0WDEzMDA=/z/YvcAAOSwygJXghq7"
"401151323860","SOL-Rum-Seljuqen-Mugith-ed-Din-Tughril-AG-Dinar-616-Erzerum-RAR-BA86-","17. Jul. 2016 22:45:54 MESZ","EUR 67,00","","","","","","401151323860o.jpg","401151323860r.jpg","","","NzUyWDE0ODI=/z/1mUAAOSwAPlXgXf3","NzUyWDE0ODI=/z/1mUAAOSwAPlXgXf3"
"391503561388","SOL-Rum-Seljuqen-Mugith-ed-Din-Tughril-AG-Dinar-613-Erzerum-RAR-BA85-","17. Jul. 2016 22:42:13 MESZ","EUR 35,75","","","","","","391503561388o.jpg","391503561388r.jpg","","","NzUyWDE0NjM=/z/kbYAAOSwGXtXgXfw","NzUyWDE0NjM=/z/kbYAAOSwGXtXgXfw"
"391503561326","SOL-Rum-Seljuqen-Mugith-ed-Din-Tughril-AG-Dinar-608-Erzerum-RAR-BA84-","17. Jul. 2016 22:39:25 MESZ","EUR 33,85","","","","","","391503561326o.jpg","391503561326r.jpg","","","NzUzWDE1MDM=/z/dC4AAOSwygJXgXfp","NzUzWDE1MDM=/z/dC4AAOSwygJXgXfp"
"401151323754","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-623-H-BA89-","17. Jul. 2016 22:36:29 MESZ","EUR 25,50","","","","","","401151323754o.jpg","401151323754r.jpg","","","NzEyWDE0MDY=/z/wtAAAOSwRgJXgXfi","NzEyWDE0MDY=/z/wtAAAOSwRgJXgXfi"
"391503561229","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-625-H-BA88-","17. Jul. 2016 22:33:45 MESZ","EUR 25,50","","","","","","391503561229o.jpg","391503561229r.jpg","","","NzA4WDE0MDA=/z/ju4AAOSwRJ9XgXfa","NzA4WDE0MDA=/z/ju4AAOSwRJ9XgXfa"
"391503561173","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Dar-al-Calal-H-BA87-","17. Jul. 2016 22:30:49 MESZ","EUR 73,45","","","","","","391503561173o.jpg","391503561173r.jpg","","","Njk4WDEzODY=/z/ZWAAAOSwyKxXgXfT","Njk4WDEzODY=/z/ZWAAAOSwyKxXgXfT"
"401150090954","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-655-H-PM381-","14. Jul. 2016 22:45:06 MESZ","EUR 17,50","","","","","","401150090954o.jpg","401150090954r.jpg","","","Nzk3WDE2MDA=/z/gEEAAOSwkl5XfoWZ","Nzk3WDE2MDA=/z/gEEAAOSwkl5XfoWZ"
"391501903096","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-656-H-PM385-","14. Jul. 2016 22:42:20 MESZ","EUR 22,00","","","","","","391501903096o.jpg","391501903096r.jpg","","","Nzg2WDE2MDA=/z/TkEAAOSwEjFXfoWR","Nzg2WDE2MDA=/z/TkEAAOSwEjFXfoWR"
"401150090846","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Lot-2-PM400-","14. Jul. 2016 22:39:02 MESZ","EUR 33,50","","","","","","401150090846o.jpg","401150090846r.jpg","","","MTU1M1gxNjAw/z/Eb8AAOSw-KFXfoWI","MTU1M1gxNjAw/z/Eb8AAOSw-KFXfoWI"
"391501902892","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Siwas-649-H-PM391-","14. Jul. 2016 22:36:18 MESZ","EUR 22,22","","","","","","391501902892o.jpg","391501902892r.jpg","","","Nzc4WDE2MDA=/z/BfQAAOSwOVpXfoV8","Nzc4WDE2MDA=/z/BfQAAOSwOVpXfoV8"
"391501902831","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Siwas-650-H-PM394-","14. Jul. 2016 22:33:22 MESZ","EUR 22,22","","","","","","391501902831o.jpg","391501902831r.jpg","","","ODE4WDE2MDA=/z/xk8AAOSwRQlXfoVz","ODE4WDE2MDA=/z/xk8AAOSwRQlXfoVz"
"391501902751","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Siwas-651-H-PM397-","14. Jul. 2016 22:30:04 MESZ","EUR 22,22","","","","","","391501902751o.jpg","391501902751r.jpg","","","ODAwWDE2MDA=/z/-qsAAOSwbYZXfoVp","ODAwWDE2MDA=/z/-qsAAOSwbYZXfoVp"
"401149510540","SOL-Rum-Seljuqen-Izz-ad-Din-Kaykaus-II-Dirham-Siwas-646-H-Lot-2-PM348-","13. Jul. 2016 23:18:07 MESZ","EUR 44,50","","","","","","401149510540o.jpg","401149510540r.jpg","","","MTU1OFgxNjAw/z/gnEAAOSwwo1XfUkb","MTU1OFgxNjAw/z/gnEAAOSwwo1XfUkb"
"391501131172","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-648-H-PM357-","13. Jul. 2016 23:15:21 MESZ","EUR 24,00","","","","","","391501131172o.jpg","391501131172r.jpg","","","NzkzWDE2MDA=/z/fpYAAOSwbYZXfUkN","NzkzWDE2MDA=/z/fpYAAOSwbYZXfUkN"
"401149510391","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-649-H-PM361-","13. Jul. 2016 23:12:47 MESZ","EUR 23,50","","","","","","401149510391o.jpg","401149510391r.jpg","","","NzkwWDE2MDA=/z/AccAAOSwZ1BXfUkD","NzkwWDE2MDA=/z/AccAAOSwZ1BXfUkD"
"401149510316","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-650-H-PM365-","13. Jul. 2016 23:09:34 MESZ","EUR 20,00","","","","","","401149510316o.jpg","401149510316r.jpg","","","NzkzWDE2MDA=/z/ACEAAOSwZ1BXfUj5","NzkzWDE2MDA=/z/ACEAAOSwZ1BXfUj5"
"391501131012","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-652-H-PM369-","13. Jul. 2016 23:06:46 MESZ","EUR 21,50","","","","","","391501131012o.jpg","391501131012r.jpg","","","ODA5WDE2MDA=/z/nx8AAOSwOVpXfUjw","ODA5WDE2MDA=/z/nx8AAOSwOVpXfUjw"
"391501130908","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-653-H-PM373-","13. Jul. 2016 23:03:33 MESZ","EUR 22,39","","","","","","391501130908o.jpg","391501130908r.jpg","","","NzkwWDE2MDA=/z/ZcUAAOSwzJ5XfUjm","NzkwWDE2MDA=/z/ZcUAAOSwzJ5XfUjm"
"401149510159","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-654-H-PM377-","13. Jul. 2016 23:00:32 MESZ","EUR 23,39","","","","","","401149510159o.jpg","401149510159r.jpg","","","Nzk4WDE2MDA=/z/ZJIAAOSwzJ5XfUjc","Nzk4WDE2MDA=/z/ZJIAAOSwzJ5XfUjc"
"401147043568","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Konya-618-H-BA-68-","09. Jul. 2016 23:39:44 MESZ","EUR 45,50","","","","","","401147043568o.jpg","401147043568r.jpg","","","NzU5WDE1MDE=/z/BlcAAOSwkl5Xd7P5","NzU5WDE1MDE=/z/BlcAAOSwkl5Xd7P5"
"391497866129","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-622-H-BA69-","09. Jul. 2016 23:36:36 MESZ","EUR 32,50","","","","","","391497866129o.jpg","391497866129r.jpg","","","ODAwWDE1NTU=/z/h-8AAOSwhOVXd7Px","ODAwWDE1NTU=/z/h-8AAOSwhOVXd7Px"
"401147043521","SOL-Rum-Seljuqen-Mugith-ed-Din-Tughril-AG-Dinar-608-Erzerum-RAR-BA66-","09. Jul. 2016 23:33:34 MESZ","EUR 45,50","","","","","","401147043521o.jpg","401147043521r.jpg","","","NzkxWDE1NjI=/z/CP8AAOSwZ1BXd7Pq","NzkxWDE1NjI=/z/CP8AAOSwZ1BXd7Pq"
"391497866016","SOL-Rum-Seljuqen-Mugith-ed-Din-Tughril-AG-Dinar-613-Erzerum-RAR-BA67-","09. Jul. 2016 23:30:58 MESZ","EUR 37,39","","","","","","391497866016o.jpg","391497866016r.jpg","","","ODE2WDE1ODU=/z/94gAAOSwuzRXd7Ph","ODE2WDE1ODU=/z/94gAAOSwuzRXd7Ph"
"391494332568","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Siwas-654-H-PM347-","05. Jul. 2016 22:42:00 MESZ","EUR 23,39","","","","","","391494332568o.jpg","391494332568r.jpg","","","NjY2WDEzMTc=/z/rB0AAOSw-4BXcb8Q","NjY2WDEzMTc=/z/rB0AAOSw-4BXcb8Q"
"391494332527","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Siwas-649-H-PM346-","05. Jul. 2016 22:39:16 MESZ","EUR 23,39","","","","","","391494332527o.jpg","391494332527r.jpg","","","NjczWDEzMzU=/z/6pMAAOSwOVpXcb8J","NjczWDEzMzU=/z/6pMAAOSwOVpXcb8J"
"401144359166","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-656-H-PM345-","05. Jul. 2016 22:36:53 MESZ","EUR 23,00","","","","","","401144359166o.jpg","401144359166r.jpg","","","NjgwWDEzMjY=/z/dvEAAOSw-KFXcb8C","NjgwWDEzMjY=/z/dvEAAOSw-KFXcb8C"
"401144359128","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-655-H-PM344-","05. Jul. 2016 22:33:07 MESZ","EUR 23,00","","","","","","401144359128o.jpg","401144359128r.jpg","","","Njc1WDEyOTM=/z/KqgAAOSwhOVXcb78","Njc1WDEyOTM=/z/KqgAAOSwhOVXcb78"
"391494332369","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-654-H-PM343-","05. Jul. 2016 22:30:37 MESZ","EUR 23,39","","","","","","391494332369o.jpg","391494332369r.jpg","","","NjM5WDEyNjI=/z/daMAAOSw-KFXcb7x","NjM5WDEyNjI=/z/daMAAOSw-KFXcb7x"
"401144356566","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-652-H-PM342-","05. Jul. 2016 03:07:46 MESZ","EUR 28,28","","","","","","401144356566o.jpg","401144356566r.jpg","","","NjQwWDEyNTE=/z/cfoAAOSw-4BXcbyw","NjQwWDEyNTE=/z/cfoAAOSw-4BXcbyw"
"401144356552","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-650-H-PM341-","05. Jul. 2016 03:04:15 MESZ","EUR 26,00","","","","","","401144356552o.jpg","401144356552r.jpg","","","NjQ5WDEyNjk=/z/IEsAAOSwNuxXcbyq","NjQ5WDEyNjk=/z/IEsAAOSwNuxXcbyq"
"401144356539","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-649-H-PM340-","05. Jul. 2016 03:01:36 MESZ","EUR 26,00","","","","","","401144356539o.jpg","401144356539r.jpg","","","Njc4WDEzNTU=/z/QqwAAOSw-KFXcbyk","Njc4WDEzNTU=/z/QqwAAOSw-KFXcbyk"
"391494328620","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-648-H-PM339-","05. Jul. 2016 02:58:03 MESZ","EUR 18,25","","","","","","391494328620o.jpg","391494328620r.jpg","","","NjY4WDEzMDc=/z/cAcAAOSw-4BXcbye","NjY4WDEzMDc=/z/cAcAAOSw-4BXcbye"
